
2021/11/13 (22:02:12) | ===> btop++ v.1.0.20
2021/11/13 (22:02:12) | ERROR: Failed to get size of terminal!

2022/03/07 (23:10:40) | ===> btop++ v.1.2.5
2022/03/07 (23:10:40) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2022/03/07 (23:10:47) | ===> btop++ v.1.2.5
2022/03/07 (23:10:47) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/03/13 (22:24:35) | ===> btop++ v.1.2.5
2022/03/13 (22:24:35) | ERROR: Stall in Runner thread, restarting!

2022/03/17 (23:19:45) | ===> btop++ v.1.2.5
2022/03/17 (23:19:45) | ERROR: Stall in Runner thread, restarting!

2023/08/10 (17:40:33) | ===> btop++ v.1.2.13
2023/08/10 (17:40:33) | ERROR: Failed to get size of terminal!

2024/01/13 (00:27:57) | ===> btop++ v.1.3.0
2024/01/13 (00:27:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (00:28:02) | ===> btop++ v.1.3.0
2024/01/13 (00:28:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (00:59:13) | ===> btop++ v.1.3.0
2024/01/13 (00:59:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (01:16:24) | ===> btop++ v.1.3.0
2024/01/13 (01:16:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (01:19:24) | ===> btop++ v.1.3.0
2024/01/13 (01:19:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (01:19:29) | ===> btop++ v.1.3.0
2024/01/13 (01:19:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (01:20:15) | ===> btop++ v.1.3.0
2024/01/13 (01:20:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (01:22:45) | ===> btop++ v.1.3.0
2024/01/13 (01:22:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (01:22:54) | ===> btop++ v.1.3.0
2024/01/13 (01:22:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (01:23:06) | ===> btop++ v.1.3.0
2024/01/13 (01:23:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (01:25:09) | ===> btop++ v.1.3.0
2024/01/13 (01:25:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (01:25:38) | ===> btop++ v.1.3.0
2024/01/13 (01:25:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (01:25:48) | ===> btop++ v.1.3.0
2024/01/13 (01:25:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (01:26:06) | ===> btop++ v.1.3.0
2024/01/13 (01:26:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (01:26:34) | ===> btop++ v.1.3.0
2024/01/13 (01:26:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (01:27:02) | ===> btop++ v.1.3.0
2024/01/13 (01:27:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (01:27:38) | ===> btop++ v.1.3.0
2024/01/13 (01:27:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (01:27:57) | ===> btop++ v.1.3.0
2024/01/13 (01:27:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (01:28:11) | ===> btop++ v.1.3.0
2024/01/13 (01:28:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (01:28:14) | ===> btop++ v.1.3.0
2024/01/13 (01:28:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
